name;score;url;Background;Body;Clothes;Eyes;Head;Mouth;Nose
PsychoMolly #86;0.00017888155520040045;https://crypto.com/nft/marketplace?asset=78226d20037f046f98d209460c20c958;Diamonds;White;Super Bit;Triclops;Soldier Hat;Picante;Teal Nose
PsychoMolly #2046;0.00017936741333398145;https://crypto.com/nft/marketplace?asset=cb8521f9e51fb3e8eee1233bbe2d257a;Dots;Pink Stripes;Sun Flower Dress;Diamond Eyes;Gata;Pink Yarn;Heart Nose
PsychoMolly #440;0.00017966710428312695;https://crypto.com/nft/marketplace?asset=e21c58e8a80830c9cb2d011567905c32;Sun Down;Glitter;Egyptian Queen;Sugar Skull Eyes;Burger Queen;Smile;Heart Nose
PsychoMolly #5052;0.00018208666813465983;https://crypto.com/nft/marketplace?asset=d14f83091395bb49e4b4a1ff32f0f6f5;Hearts;Purple-ish;Angel;Sugar Skull Eyes;Night Cap;Bitcoin Tab;Nose Ring
PsychoMolly #2286;0.00018241843471864083;https://crypto.com/nft/marketplace?asset=f7dcc42740d4b14f20082cae3cb7fc55;Dots;Diva;Gold Pacifier;Red Eyes;Sugar Skull Rose;Cig;Clown Nose
PsychoMolly #8857;0.00018273714568952808;https://crypto.com/nft/marketplace?asset=c4b4287f3c9498de69ae7c079a8ded5a;Diamonds;Purple-ish;White Dress;Geisha Eyes;Rainbow Afro;Cig;Heart Nose
PsychoMolly #5518;0.00018337581967619018;https://crypto.com/nft/marketplace?asset=58f29bd0d755811ac26dc893e211108d;Hot Pink;White;Flight Attendant;Loca;Gata;Tic Toc;Nose Ring
PsychoMolly #1886;0.00018885193989595902;https://crypto.com/nft/marketplace?asset=e017cece0fed51259e90588efc729e54;Diamonds;Cream;Coconut;9 Ball;Rainbow Afro;Geisha Lips;Heart Nose
PsychoMolly #4471;0.00019003677970769742;https://crypto.com/nft/marketplace?asset=9372ef2f0c91b57a530df1c1c598baeb;Dots;Zombie;Skeleton Shirt;Purple Shadow;Rainbow Afro;Pink Slime;Nose Ring
PsychoMolly #6486;0.00019170033707118108;https://crypto.com/nft/marketplace?asset=761eb9333e1bfa35527cad745e2e9dde;Hot Pink;Glitter;K-trix;Diamond Eyes;Red Hair;Lick;Sugar Skull Nose
PsychoMolly #1857;0.0001939231410738252;https://crypto.com/nft/marketplace?asset=f8c2410ee50ca794882cf45c4c93c2f2;Diamonds;Tanned;Rainbow Shirt;9 Ball;Rainbow Afro;Tic Toc;Sugar Skull Nose
PsychoMolly #7568;0.00019642007825062367;https://crypto.com/nft/marketplace?asset=10fc4e47b59d93c225b84383c4b21543;Hot Pink;Pink Stripes;Pajama;Bitcoin Eyes;Gata;Gold Teeth;Teal Nose
PsychoMolly #232;0.0001970945853616974;https://crypto.com/nft/marketplace?asset=e5d58aed092ac9c0b02b8ad114e327a8;Dots;Purple-ish;Bad Girl;Red Eyes;Geisha Hair;Smile;Gold Stud
PsychoMolly #3737;0.0001974390012194972;https://crypto.com/nft/marketplace?asset=fa75a2f89a5d94dc042781edf1696f50;Sun Down;Pink Stripes;Flight Attendant;Red Eyes;Soldier Hat;Diamond Kiss;Heart Nose
PsychoMolly #3824;0.00020059982976981398;https://crypto.com/nft/marketplace?asset=b6fce4afbfb5bd27eeb89cb971c5e433;Sun Down;White;Burger Queen;Bunny Mask;Bunny Ears;Pink Yarn;Diamond Nose
PsychoMolly #1607;0.00020234820121308445;https://crypto.com/nft/marketplace?asset=ec001a404a781a473bece1247805afec;Hearts;Glitter;Gold Pacifier;Bitcoin Eyes;Gray Hair;Geisha Lips;Sugar Skull Nose
PsychoMolly #75;0.00020874292680129867;https://crypto.com/nft/marketplace?asset=a4de6d299eab5d608ea7ac5c1e26421c;Hot Pink;White;Skeleton Shirt;Bitcoin Eyes;Red Hair;Diamond Kiss;Nose Ring
PsychoMolly #9691;0.0002137316811934387;https://crypto.com/nft/marketplace?asset=6db885731e35469a2006674d0d82464e;Dots;Mint Swirl;Pajama;Bitcoin Eyes;Red Hair;Tic Toc;Nose Ring
PsychoMolly #5442;0.00021693658243920728;https://crypto.com/nft/marketplace?asset=e98069fb241dc9c8d4b01f5e2de1a93a;Hearts;Tanned;White Dress;Sugar Skull Eyes;Unicorn;Muahh;Gold Stud
PsychoMolly #3747;0.0002180532970325764;https://crypto.com/nft/marketplace?asset=baf6d2b38521db917233d75cb4a1dc05;Dots;Cream;Flight Attendant;Triclops;Gata;Gold Teeth;Button Nose
PsychoMolly #3072;0.00021921277403105238;https://crypto.com/nft/marketplace?asset=4a719ce9f9a4abbfb45d5817be901a44;Diamonds;Cream;Gold Pacifier;Cucumbers;Purple Hair;Muahh;Button Nose
PsychoMolly #8625;0.00022061905315718462;https://crypto.com/nft/marketplace?asset=a0d2e85d3c668bf33ca6b62f57bd9fa0;Hot Pink;Tanned;Super Bit;ETH Eyes;Gata;Sugar Skull Lips;Heart Nose
PsychoMolly #2192;0.00022090410257102756;https://crypto.com/nft/marketplace?asset=d5d0da39ff46b7cc0430d40d2da69cdb;Sun Down;Make-Up;Sun Flower Dress;Sugar Skull Eyes;Halo;Cig;Teal Nose
PsychoMolly #6027;0.00022141069841055344;https://crypto.com/nft/marketplace?asset=12e858e6f433073fd79ae4eabda1d743;Hearts;Black Moon;Egyptian Queen;9 Ball;Hawaiian;Pink Slime;Heart Nose
PsychoMolly #173;0.00022211207437987718;https://crypto.com/nft/marketplace?asset=b3f37e2a5c77f7e6a750111bdb034354;Hearts;Polka Dots;CDC Blue Suit;Diamond Eyes;Bunny Ears;Pink Slime;Heart Nose
PsychoMolly #3301;0.00022310941791572027;https://crypto.com/nft/marketplace?asset=92957fa910f14404384833496b45aca5;Hearts;Tanned;Geisha;Sugar Skull Eyes;Flight Attendant;Diamond Kiss;Heart Nose
